n,p,r,s,Dinic,EK,MPM
1300,0.9,1300,393136608714,,87.1464,
1400,0.9,1400,791178116627,,100.012,
1500,0.9,1500,18049967595,,100.012,
400,0.1,400,759441035215,,0.00953376,
500,0.1,500,717282403508,,0.0156157,
600,0.1,600,305908112695,,0.0380581,
700,0.1,700,302686004692,,0.0420221,
800,0.1,800,400359333749,,0.0974851,
900,0.1,900,477305155638,,0.199377,
1000,0.1,1000,584815176787,,0.557545,
1100,0.1,1100,688719797273,,0.289414,
1200,0.1,1200,249293278258,,0.86314,
1300,0.1,1300,602314975798,,2.00121,
1400,0.1,1400,88100271441,,2.02626,
1500,0.1,1500,344066754345,,1.75381,
400,0.2,400,137019184286,,0.00995939,
500,0.2,500,852973777074,,0.0739234,
600,0.2,600,123178180880,,0.159107,
700,0.2,700,898844933080,,0.428075,
800,0.2,800,123618014698,,1.06358,
900,0.2,900,932237684641,,1.25202,
1000,0.2,1000,787183419111,,1.16448,
1100,0.2,1100,523486019080,,2.36686,
1200,0.2,1200,497645096805,,0.848834,
1300,0.2,1300,46401067245,,3.68462,
1400,0.2,1400,353244857201,,6.07918,
1500,0.2,1500,15199611823,,8.74979,
400,0.3,400,541984850098,,0.0399219,
500,0.3,500,347215256882,,0.117336,
600,0.3,600,929902996516,,0.176746,
700,0.3,700,385232088053,,0.201966,
800,0.3,800,662021051770,,0.85677,
900,0.3,900,892988727958,,0.416717,
1000,0.3,1000,920763746984,,2.66127,
1100,0.3,1100,567466237034,,3.37426,
1200,0.3,1200,670792920566,,7.4115,
1300,0.3,1300,933461445055,,4.1097,
1400,0.3,1400,665508425780,,13.0472,
1500,0.3,1500,923486180014,,16.8786,
400,0.4,400,419047580732,,0.268545,
500,0.4,500,157870342019,,0.143428,
600,0.4,600,903133694368,,0.438657,
700,0.4,700,937699580824,,0.274469,
800,0.4,800,749427445385,,2.22665,
900,0.4,900,555417204615,,2.98423,
1000,0.4,1000,898057171469,,4.35193,
1100,0.4,1100,367043495500,,12.8661,
1200,0.4,1200,659221855056,,7.04718,
1300,0.4,1300,499864356847,,17.0388,
1400,0.4,1400,946820354233,,25.9678,
1500,0.4,1500,839424477960,,27.6491,
400,0.5,400,290307582481,,0.0800933,
500,0.5,500,406220012945,,0.278346,
600,0.5,600,146105633806,,1.25175,
700,0.5,700,962224747087,,5.1725,
800,0.5,800,193879734992,,3.99828,
900,0.5,900,497130694773,,7.4493,
1000,0.5,1000,938337585260,,14.697,
1100,0.5,1100,737882744908,,13.5966,
1200,0.5,1200,884412491069,,14.582,
1300,0.5,1300,481635735721,,26.7929,
1400,0.5,1400,802514506282,,33.1838,
1500,0.5,1500,888273070973,,29.6821,
400,0.6,400,711577758239,,0.167715,
500,0.6,500,24545451782,,0.554931,
600,0.6,600,699445337193,,1.19385,
700,0.6,700,729912340134,,4.5987,
800,0.6,800,240022729051,,9.43255,
900,0.6,900,665949364268,,8.96173,
1000,0.6,1000,712098972179,,11.3158,
1100,0.6,1100,775137554214,,17.9733,
1200,0.6,1200,820299305843,,23.5407,
1300,0.6,1300,48812067057,,33.9275,
1400,0.6,1400,459475116234,,53.0999,
1500,0.6,1500,667466782502,,54.4879,
400,0.7,400,809987748183,,0.273472,
500,0.7,500,321190213074,,1.96671,
600,0.7,600,85180147537,,2.85434,
700,0.7,700,372268871096,,7.55234,
800,0.7,800,690036869946,,8.84929,
900,0.7,900,307337185864,,12.1324,
1000,0.7,1000,438133119238,,20.0736,
1100,0.7,1100,792342937584,,30.2441,
1200,0.7,1200,554372007212,,27.9016,
1300,0.7,1300,731622673170,,51.7114,
1400,0.7,1400,953931191123,,59.6469,
1500,0.7,1500,323634938295,,60.4839,
400,0.8,400,137755742765,,0.679066,
500,0.8,500,825235708856,,3.24387,
600,0.8,600,239739523175,,3.6159,
700,0.8,700,627040680320,,10.2375,
800,0.8,800,617816525755,,12.8575,
900,0.8,900,101625614421,,19.8309,
1000,0.8,1000,543132410000,,25.0176,
1100,0.8,1100,160081465840,,38.5923,
1200,0.8,1200,908714571031,,44.104,
1300,0.8,1300,667310216166,,65.8494,
1400,0.8,1400,936822475270,,84.3018,
1500,0.8,1500,328856878281,,73.9824,
400,0.9,400,923726664262,,0.489479,
500,0.9,500,403950993406,,2.73788,
600,0.9,600,163869554075,,4.70139,
700,0.9,700,400708391030,,9.58686,
800,0.9,800,228353602530,,19.1439,
900,0.9,900,103076289710,,21.6314,
1000,0.9,1000,421192058975,,39.3182,
1100,0.9,1100,971311853347,,45.3524,
1200,0.9,1200,252842541248,,48.2331,
1300,0.9,1300,978079051723,,73.1822,
1400,0.9,1400,712274110041,,94.4213,
1500,0.9,1500,63371452286,,100.005,
