n_vert,prob,range,seed,Dinic_time,EK_time,MPM_time
1400,0.9,1400,96321,0.0873942,234.257,0.973687
1500,0.5,1505,44321,0.0897112,27.5137,0.400103
1500,0.6,1525,22321,0.210493,53.7348,0.56683
1500,0.7,1550,81321,0.129154,64.0726,0.755781
1500,0.8,1575,11321,0.261639,82.3156,0.965884
1500,0.9,1600,96321,0.0816818,71.2903,1.19616
1600,0.5,1605,24321,0.268014,43.886,0.583696
1600,0.6,1625,72321,0.125699,47.8376,0.705277
1600,0.7,1650,17321,0.10463,68.5214,0.851328
1600,0.8,1675,61321,0.339571,94.367,1.53368
1600,0.9,1700,45321,0.119587,85.6861,1.50954
1700,0.5,1705,22321,0.0857494,37.7734,0.686449
1700,0.6,1725,11321,0.0683417,66.1089,0.703197
1700,0.7,1750,54375,0.480421,86.0393,1.36001
1700,0.8,1775,11221,0.223047,122.051,1.76636
1700,0.9,1800,91121,0.12331,135.673,1.99591
1800,0.5,1805,54621,0.0788223,45.2272,0.789235
1800,0.6,1825,66621,0.115598,65.891,0.791318
1800,0.7,1850,98721,0.49636,120.101,1.76675
1800,0.8,1875,68221,0.14891,123.845,1.64783
1800,0.9,1900,90001,0.117272,134.247,2.11191
1900,0.5,1905,90121,0.424821,61.6157,0.898085
1900,0.6,1925,55441,0.28233,75.5539,1.34216
1900,0.7,1950,44331,0.196977,90.1503,1.86163
1900,0.8,1975,66221,0.338799,166.573,2.21047
1900,0.9,2000,88321,0.217525,306.765,2.62679
2000,0.5,2005,98355,0.341572,51.1455,1.07382
2000,0.6,2025,55661,0.352005,97.6208,1.65146
2000,0.7,2050,90142,0.293999,137.44,1.88212
2000,0.8,2075,55751,0.259875,173.018,2.54454
2000,0.9,2100,24671,0.224304,191.865,3.08391
2100,0.5,2105,88355,0.104569,63.6351,1.04762
2100,0.6,2125,15561,0.288798,127.392,1.72556
2100,0.7,2150,44412,0.123359,406.068,2.08696
2100,0.8,2175,88811,0.369383,173.944,199.251
2100,0.9,2200,48555,0.277069,219.08,4.39681
2200,0.5,2205,18835,0.328746,85.0325,1.19589
2200,0.6,2225,15391,0.166509,100.163,1.6817
2200,0.7,2250,99972,0.775815,189.96,3.06329
2200,0.8,2275,19255,0.331425,213.143,6.60136
2200,0.9,2300,57921,0.180126,279.601,4.04939
2300,0.5,2305,35312,0.649652,96.4736,1.63793
2300,0.6,2325,91131,0.132415,124.813,1.98137
2300,0.7,2350,72272,0.225265,178.613,3.02592
2300,0.8,2375,92155,0.697371,283.608,4.39499
2300,0.9,2400,21571,0.261705,390.97,5.17966
2400,0.5,2405,57162,0.353393,96.7907,1.76325
2400,0.6,2425,61271,0.728264,208.2,2.93601
2400,0.7,2450,22272,0.229432,208.114,3.5808
2400,0.8,2475,99195,0.174537,290.69,4.50842
2400,0.9,2400,29927,0.274434,367.019,5.50597
2500,0.5,2505,16232,0.392409,109.263,1.80311
2500,0.6,2525,27451,0.362133,212.981,2.8775
2500,0.7,2550,55912,0.318044,290.579,4.01644
2500,0.8,2575,96133,0.353325,322.69,5.46189
2500,0.9,2500,21944,0.398305,419.516,7.07745
